01%,"0-49,9",58
01%,"50-99,9",64
01%,"100-149,9",83
01%,"150-199,9",103
01%,"200-299,9",143
01%,"300-399,9",172
01%,"400-499,9",210
01%,"500-599,9",225
01%,"600-699,9",240
01%,700-1000,295
07%,"0-49,9",58
07%,"50-99,9",64
07%,"100-149,9",83
07%,"150-199,9",103
07%,"200-299,9",143
07%,"300-399,9",172
07%,"400-499,9",210
07%,"500-599,9",225
07%,"600-699,9",240
07%,700-1000,295
26%,"0-49,9",58
26%,"50-99,9",64
26%,"100-149,9",83
26%,"150-199,9",103
26%,"200-299,9",143
26%,"300-399,9",172
26%,"400-499,9",210
26%,"500-599,9",225
26%,"600-699,9",240
26%,700-1000,295
38%,"0-49,9",58
38%,"50-99,9",64
38%,"100-149,9",83
38%,"150-199,9",103
38%,"200-299,9",143
38%,"300-399,9",172
38%,"400-499,9",210
38%,"500-599,9",225
38%,"600-699,9",240
38%,700-1000,295
42%,"0-49,9",58
42%,"50-99,9",64
42%,"100-149,9",83
42%,"150-199,9",103
42%,"200-299,9",143
42%,"300-399,9",172
42%,"400-499,9",210
42%,"500-599,9",225
42%,"600-699,9",240
42%,700-1000,295
43%,"0-49,9",58
43%,"50-99,9",64
43%,"100-149,9",83
43%,"150-199,9",103
43%,"200-299,9",143
43%,"300-399,9",172
43%,"400-499,9",210
43%,"500-599,9",225
43%,"600-699,9",240
43%,700-1000,295
69%,"0-49,9",58
69%,"50-99,9",64
69%,"100-149,9",83
69%,"150-199,9",103
69%,"200-299,9",143
69%,"300-399,9",172
69%,"400-499,9",210
69%,"500-599,9",225
69%,"600-699,9",240
69%,700-1000,295
71%,"0-49,9",58
71%,"50-99,9",64
71%,"100-149,9",83
71%,"150-199,9",103
71%,"200-299,9",143
71%,"300-399,9",172
71%,"400-499,9",210
71%,"500-599,9",225
71%,"600-699,9",240
71%,700-1000,295
73%,"0-49,9",58
73%,"50-99,9",64
73%,"100-149,9",83
73%,"150-199,9",103
73%,"200-299,9",143
73%,"300-399,9",172
73%,"400-499,9",210
73%,"500-599,9",225
73%,"600-699,9",240
73%,700-1000,295
74%,"0-49,9",58
74%,"50-99,9",64
74%,"100-149,9",83
74%,"150-199,9",103
74%,"200-299,9",143
74%,"300-399,9",172
74%,"400-499,9",210
